,crime_type,date,address
194,Burglary,2018-03-02 00:00:00,1400 BLOCK OF BRONX RIVER AVE
195,Burglary,2018-03-02 00:00:00,
196,Burglary,2018-03-02 00:00:00,2614-2634 W 36TH ST
197,Burglary,2018-03-02 00:00:00,400 BLOCK OF E 28TH ST
198,Burglary,2018-03-01 00:00:00,00 BLOCK OF W 190TH ST
199,Burglary,2018-03-01 00:00:00,00 BLOCK OF CLARKSON AVE
200,Burglary,2018-03-01 00:00:00,361-399 W 47TH ST
201,Burglary,2018-03-01 00:00:00,700 BLOCK OF 9TH AVE
202,Burglary,2018-03-01 00:00:00,49-1-49-99 131ST ST
203,Burglary,2018-03-01 00:00:00,100 BLOCK OF N MOORE ST
204,Burglary,2018-03-01 00:00:00,
205,Burglary,2018-03-01 00:00:00,1200 BLOCK OF OGDEN AVE
206,Burglary,2018-03-01 00:00:00,
207,Burglary,2018-03-01 00:00:00,200 BLOCK OF E 90TH ST
208,Burglary,2018-03-01 00:00:00,500 BLOCK OF E 139TH ST
209,Burglary,2018-03-01 00:00:00,2100 BLOCK OF 7TH AVE
210,Burglary,2018-03-01 00:00:00,400 BLOCK OF 9TH ST
211,Burglary,2018-03-01 00:00:00,100 BLOCK OF BLAKE AVE
212,Burglary,2018-03-01 00:00:00,
213,Burglary,2018-03-01 00:00:00,
214,Burglary,2018-03-01 00:00:00,300 BLOCK OF IRVING AVE
215,Burglary,2018-03-01 00:00:00,100 BLOCK OF NEW YORK AVE
216,Burglary,2018-03-01 00:00:00,6813-6899 15TH AVE
217,Burglary,2018-03-01 00:00:00,
218,Burglary,2018-03-01 00:00:00,800 BLOCK OF FLATBUSH AVE
219,Burglary,2018-03-01 00:00:00,154-1 33RD AVE
220,Burglary,2018-03-01 00:00:00,
221,Burglary,2018-03-01 00:00:00,400 BLOCK OF W 120TH ST
222,Burglary,2018-03-01 00:00:00,700 BLOCK OF E 149TH ST
223,Burglary,2018-03-01 00:00:00,
224,Burglary,2018-03-01 00:00:00,
225,Burglary,2018-03-01 00:00:00,84-11 CORONA AVE
226,Burglary,2018-03-01 00:00:00,2200 BLOCK OF NEW YORK AVE
227,Burglary,2018-03-01 00:00:00,
228,Burglary,2018-03-01 00:00:00,1200 BLOCK OF FLUSHING AVE
229,Burglary,2018-03-16 00:00:00,00 BLOCK OF DOSCHER ST
230,Burglary,2018-03-16 00:00:00,1004-1012 3RD AVE
231,Burglary,2018-03-16 00:00:00,9600 BLOCK OF AVENUE B
232,Burglary,2018-03-16 00:00:00,1431-1449 FULTON AVE
233,Burglary,2018-03-16 00:00:00,600 BLOCK OF W 137TH ST
234,Burglary,2018-03-16 00:00:00,27-0 150TH ST
